Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2-Interval-Track.bed 3641 2691.01911385195 1.27958873778956e-95 193817 18433 3812599 4.66411180099104 4.49607853283134 4.83937171572529 0
1_GATA2_1-Interval-Track.bed 3641 2691.01911385195 1.27958873778956e-95 193817 18433 3812599 4.66411180099104 4.49607853283134 4.83937171572529 0
All_peaks.merged5.hg19.bed 14681 13021.8942540674 1.28783078355473e-213 1211676 18433 3812599 8.48981854666146 8.18903407262466 8.80055976925836 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 14681 13021.8942540674 1.28783078355473e-213 1211676 18433 3812599 8.48981854666146 8.18903407262466 8.80055976925836 0
CN8_hg38.cleaned.hg19.merged.bed 74 29.8757276803836 1.40778737751486e-14 1801 18433 3812599 8.85147984207894 6.91414587841966 11.1756350769432 5.4752415948392e-43
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 9007 6141.09543108776 0 426725 18433 3812599 7.72348127974719 7.50219615466755 7.95323323455995 0
CN_all_peaks.overlap.Conserved.bed 1763 1019.67986870739 9.22075085580486e-140 60299 18433 3812599 6.74921879322577 6.41698162922595 7.09386244051986 0
CN_all_peaks.overlap.footprint.bed 1751 970.424405761633 2.38724884507897e-155 45291 18433 3812599 9.04153484765209 8.59357184257474 9.50625004423418 0
CN_footprint.hg19.bed 1751 970.894564309411 4.23172192636539e-155 45342 18433 3812599 9.03085619919548 8.58247369000179 9.49814128048964 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 8029 4980.2462657471 0 347595 18433 3812599 7.85116886163607 7.62478693360318 8.08670804311495 0
CN_merged_footprint.dnase2tf.bed 221 145.390817007382 5.1095383401442e-11 6447 18433 3812599 7.38335187483912 6.42206559663568 8.45099258359838 1.93831575194633e-109
CN_merged_footprint.dnase2tf.hg19.bed 595 222.510527569003 3.89817190976828e-110 15411 18433 3812599 8.50842447387238 7.81599108450589 9.24846308402658 2.10966030774212e-320
CTCF_Hoffman.bed 5792 4541.61530331909 1.05250490821482e-119 286816 18433 3812599 5.7277756956475 5.54962329545643 5.91027736346491 0
Coding_UCSC.bed 3694 2776.90244089438 2.03267908598811e-90 280566 18433 3812599 3.18388312495223 3.06939942853616 3.30147370649259 0
Conserved_LindbladToh.bed 5631 5143.8797401974 4.11897262241187e-20 387619 18433 3812599 3.92867689666144 3.80654934100195 4.05518575489 0
DHS_peaks_Trynka.bed 14861 12946.4529445627 5.85019467306929e-296 1090398 18433 3812599 10.5161044075123 10.1405044569028 10.9138742880284 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 11267 8276.56661579874 0 653176 18433 3812599 7.7210235225429 7.49298237257802 7.95644845828432 0
DN_all_peaks.overlap.Conserved.bed 2253 1506.3111157037 1.10091929596823e-98 97752 18433 3812599 5.39266355800067 5.15585119198706 5.63899033236047 0
DN_all_peaks.overlap.footprint.bed 1881 1140.29375140178 9.77004166130099e-127 54520 18433 3812599 8.07765370110269 7.69194507062385 8.47859995910284 0
DN_footprint.hg19.bed 1884 1140.67090909589 1.665766817405e-127 54598 18433 3812599 8.08032737660452 7.69460888094224 8.4833358011438 0
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 10607 7398.21340687237 0 555700 18433 3812599 8.07846130403711 7.84562172517751 8.31903483384522 0
DN_merged_footprint.dnase2tf.bed 643 500.104387273077 4.32254938697403e-12 23539 18433 3812599 5.95326662659821 5.48924433209843 6.44753696391385 3.67838922954629e-262
DN_merged_footprint.dnase2tf.hg19.bed 2263 1161.74670045595 9.56492549575537e-257 59319 18433 3812599 9.16904716097813 8.76295747886173 9.5897257856408 0
DNaseI.bed 7399 5247.273350612 2.27943832471776e-298 550199 18433 3812599 4.01689581902912 3.8990881925418 4.13722021474677 0
E081-DNase.macs2.narrowPeak.bed 15 12.9013855631365 0.310893500435168 1145 18433 3812599 2.73364958285668 1.52468478141886 4.53012429878477 0.000613920087362802
E8_TCM_D_48h.bed 9882 6433.83953625442 0 496547 18433 3812599 7.85596836461479 7.62662832156203 8.08850698207941 0
E8_TCM_T_48h.bed 9404 5870.62323330988 0 445736 18433 3812599 8.01497875301805 7.78505861088288 8.2516725197243 0
Enhancer_Andersson.bed 1869 1151.46405499158 6.89271501534345e-114 64780 18433 3812599 6.69218604849433 6.37239498595951 7.02556836618522 0
Enhancer_Hoffman.bed 8334 5354.12285302295 0 461420 18433 3812599 6.08528773298374 5.90937949562388 6.26689055230563 0
FAIRE.bed 3015 2933.75870248612 0.0350027057543148 162079 18433 3812599 4.46893137908425 4.29464096646568 4.64888319551845 0
FOSL2.bed 1720 1092.38721595723 2.03166616076414e-89 67335 18433 3812599 5.84800432624864 5.55840715452922 6.14968604280718 0
FOXO1_DeMayo.bed 1991 1369.87197917189 7.13306837886321e-73 93215 18433 3812599 4.91607573265272 4.68701066061914 5.15168966716313 0
FetalDHS_Trynka.bed 13580 10992.1939773052 0 889831 18433 3812599 9.31577227121022 9.01377826353469 9.63002403825425 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.100418.bed 9939 7584.56381947303 0 568808 18433 3812599 6.77383335056324 6.57772882617328 6.97501340886913 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.bed 11077 8219.3969825674 0 673907 18433 3812599 7.11381760955207 6.90551938795789 7.32924836306445 0
GA_all_peaks.overlap.Conserved.bed 1587 973.329272996482 4.26294117658162e-99 61717 18433 3812599 5.85010613477856 5.549887940492 6.16339935546007 0
GA_merged_cutsite_peaks.narrowPeak.hg19.bed 10878 7674.14745501016 0 605173 18433 3812599 7.75299835563354 7.52632397887475 7.98699301140166 0
GA_merged_footprint.dnase2tf.hg19.bed 3050 1523.96607891683 0 89321 18433 3812599 8.52172324509801 8.18904182474534 8.86392535854371 0
GSM1820082_d27_fdr0.05.hot.bed 5901 3281.80166078078 0 223719 18433 3812599 7.72945957546947 7.49080588435269 7.97779285979437 0
GSM1820085_d411_fdr0.05.hot.bed 2322 1239.71843845577 1.38269536715193e-216 80908 18433 3812599 6.81422053267275 6.51791082798306 7.121837051884 0
GSM1820087_d412_fdr0.05.hot.bed 4149 2223.18432540576 0 146084 18433 3812599 7.47256484266622 7.21405269210952 7.74150503096128 0
H3K27ac.bed 1962 996.368621355919 3.91401968362986e-210 74560 18433 3812599 6.10628005192823 5.82089223431163 6.40320374540685 0
H3K27ac_Hnisz.bed 16025 13085.1929432697 0 2206771 18433 3812599 4.87073351222889 4.66580219980272 5.08564958369146 0
H3K27ac_PGC2.bed 15870 12765.5921371598 0 1797793 18433 3812599 6.99206750243346 6.70505799411446 7.29460982118498 0
H3K27me3.bed 412 268.27294213772 5.47970628053254e-19 22680 18433 3812599 3.872560926622 3.50061142772295 4.27434327098513 8.14868558303165e-110
H3K4me1_peaks_Trynka.bed 15895 13860.0714346862 0 1479191 18433 3812599 9.97495855685741 9.56743774140301 10.4047275052152 0
H3K4me3.bed 3764 1695.6616789551 0 154854 18433 3812599 6.18615178474741 5.96518413105196 6.41659133508538 0
H3K4me3_peaks_Trynka.bed 10960 7351.9212206421 0 545392 18433 3812599 8.94522496722294 8.68483879317404 9.21339651649269 0
H3K9ac_peaks_Trynka.bed 10745 6770.04138813116 0 537927 18433 3812599 8.66079543443912 8.40982558250322 8.92197959485355 0
Humanfrontcortex.bed 7073 3436.33300231294 0 224674 18433 3812599 10.2339061946076 9.93038768667212 10.54570809397 0
Humanfrontcortex.hg38.bed 3759 2977.40771485509 7.96228361752619e-64 189442 18433 3812599 4.97813247344711 4.80041745785778 5.162105968388 0
IPS_merged_footprint.dnase2tf.bed 570 445.712721010974 1.6941318406545e-10 22208 18433 3812599 5.56326997534095 5.1035904777063 6.05403262110045 2.0247948659655e-219
IPS_merged_footprint.dnase2tf.hg19.bed 826 399.09212385569 3.95068719871225e-99 21959 18433 3812599 8.37550816613475 7.79201625549491 8.99588461135573 0
Intron_UCSC.bed 12336 12131.2287503692 3.17673719546268e-12 2925837 18433 3812599 0.611581166150223 0.592990198176415 0.630795687759084 1.88457506925227e-202
NR2F2.bed 1278 884.335372294559 5.18436161583097e-45 58607 18433 3812599 4.85585557196393 4.58181923731228 5.14263458311492 0
NSC_all_peaks.narrowPeak.cleaned.hg19.merged.bed 8138 5456.26249700273 0 378704 18433 3812599 7.30231804282931 7.09118532179566 7.52228818223784 0
NSC_all_peaks.overlap.Conserved.bed 1571 876.731988008992 1.2259552446065e-139 52742 18433 3812599 6.8146044807932 6.4622706151538 7.18220258275814 0
NSC_all_peaks.overlap.footprint.bed 2306 1152.76049235035 3.73480317549258e-259 68507 18433 3812599 8.05241581063181 7.70020320647079 8.41937445041524 0
NSC_footprint.hg19.bed 8828 7559.79460757198 1.00070576213873e-108 454460 18433 3812599 6.90579471787472 6.70700590794924 7.11130627316825 0
NSC_footprint.hg19.s+.bed 5772 4872.02422470153 2.18987825338285e-65 268247 18433 3812599 6.13412587250275 5.94431518924525 6.32918825741985 0
NSC_footprint.hg19.s-.bed 6011 4967.3009070967 9.40349072497218e-87 272145 18433 3812599 6.41485810922442 6.2186761369218 6.61664497988547 0
NSC_merged_cutsite_peaks.narrowPeak.hg19.bed 7199 4401.31927158343 0 309154 18433 3812599 7.41132640588884 7.1911340802091 7.63771640856895 0
NSC_merged_footprint.dnase2tf.bed 92 89.5233782409695 0.407526088118723 5468 18433 3812599 3.53482786993002 2.84356277474781 4.34647052133166 1.54925909085682e-23
NSC_merged_footprint.dnase2tf.hg19.bed 326 152.429532640749 5.48135144227035e-40 10138 18433 3812599 6.94249073825271 6.19353168714674 7.76286045917757 7.43857354512985e-153
Noonan_hNSC_50_peaks.bed 4391 2388.12997982871 0 140796 18433 3812599 8.38602707867174 8.10033401813864 8.67661003582922 0
Noonan_hNSC_P15-1_peaks.bed 2945 1543.21779458391 2.51973479379036e-322 85829 18433 3812599 8.51428676661309 8.17633952565658 8.86137367210783 0
Noonan_hNSC_P5-1_peaks.bed 2626 1278.22985969227 0 73890 18433 3812599 8.67874463384747 8.31927532352061 9.05072683525678 0
