molecular_trait_id.x	cs_order.x	molecular_trait_id.y	cs_order.y	n	max_effect.ha	max_effect.m	haQTL_unique_gene	mQTL_unique_gene	shared_gene	cat
tad1000	1	tad1000	2	1	-0.41741227124680447	0.5844791976517594	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad1003	2	tad1003	1	1	-0.2944675311554328	0.7197709048027007	FALSE	TRUE	FALSE	Others, R^2 = -0.541
tad1015	3	tad1015	7	23	0.2013206121664108	-0.15580396327966023	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad1017	3	tad1017	1	5	0.41784173606546127	-0.55451875862071	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad102	1	tad102	2	1	-0.44803545348278145	0.36004330381857386	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad102	2	tad102	1	5	-0.18590108111421144	0.5383885810762054	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad1025	7	tad1025	18	3	0.14586572246724658	0.34176634837451214	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad1026	1	tad1026	3	5	0.32204525376091453	-0.6044750682181429	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad1027	1	tad1027	6	1	-0.20018283939227888	0.4896484754841345	FALSE	TRUE	TRUE	Others, R^2 = -0.541
tad1027	3	tad1027	2	1	0.1983991383957426	0.6407644109795616	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad1031	1	tad1031	1	4	-0.10358337841269	-0.40917951700176103	NA	NA	NA	No TSS in affected region, R^2 = -0.655
tad1032	1	tad1032	3	1	0.18445645155672472	-0.19357572094510528	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad1036	3	tad1036	4	1	-0.13892721281827625	0.1881629638063171	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad1050	1	tad1050	2	1	-0.25212007545069154	0.3677271393295525	TRUE	FALSE	TRUE	Others, R^2 = -0.541
