molecular_trait_id	haQTL	mQTL	eQTL	pQTL
tad10	FALSE	TRUE	FALSE	FALSE
tad10	FALSE	TRUE	FALSE	FALSE
tad10	FALSE	TRUE	TRUE	FALSE
tad10	FALSE	TRUE	FALSE	FALSE
tad10	FALSE	TRUE	TRUE	FALSE
tad10	FALSE	TRUE	FALSE	FALSE
tad10	FALSE	TRUE	FALSE	FALSE
tad10	FALSE	TRUE	FALSE	FALSE
tad10	FALSE	TRUE	FALSE	FALSE
tad10	FALSE	TRUE	FALSE	FALSE
tad100	FALSE	TRUE	FALSE	FALSE
tad100	FALSE	TRUE	FALSE	FALSE
tad100	FALSE	TRUE	FALSE	FALSE
tad100	FALSE	TRUE	FALSE	FALSE
tad100	FALSE	TRUE	TRUE	FALSE
tad100	FALSE	TRUE	FALSE	FALSE
tad100	FALSE	TRUE	FALSE	FALSE
tad100	FALSE	TRUE	FALSE	FALSE
tad100	FALSE	TRUE	TRUE	TRUE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	TRUE	TRUE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1001	FALSE	TRUE	FALSE	FALSE
tad1001	FALSE	TRUE	FALSE	FALSE
tad1001	FALSE	TRUE	FALSE	FALSE
