molecular_trait_id	haQTL	mQTL	eQTL	pQTL
tad10	FALSE	TRUE	FALSE	FALSE
tad10	FALSE	TRUE	TRUE	FALSE
tad10	FALSE	TRUE	FALSE	FALSE
tad10	FALSE	TRUE	FALSE	FALSE
tad100	FALSE	TRUE	FALSE	FALSE
tad100	FALSE	TRUE	FALSE	FALSE
tad100	FALSE	TRUE	FALSE	FALSE
tad100	FALSE	TRUE	FALSE	FALSE
tad100	FALSE	TRUE	FALSE	FALSE
tad100	FALSE	TRUE	TRUE	TRUE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	TRUE	TRUE	TRUE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1000	FALSE	TRUE	FALSE	FALSE
tad1001	FALSE	TRUE	FALSE	FALSE
tad1001	FALSE	TRUE	FALSE	FALSE
tad1001	FALSE	TRUE	FALSE	FALSE
tad1001	FALSE	TRUE	FALSE	FALSE
tad1001	FALSE	TRUE	FALSE	FALSE
tad1002	FALSE	TRUE	FALSE	FALSE
tad1003	FALSE	TRUE	TRUE	FALSE
tad1003	FALSE	TRUE	FALSE	FALSE
tad1003	FALSE	TRUE	FALSE	FALSE
tad1003	FALSE	TRUE	FALSE	FALSE
tad1003	FALSE	TRUE	FALSE	FALSE
tad1003	FALSE	TRUE	FALSE	FALSE
tad1003	FALSE	TRUE	FALSE	FALSE
tad1003	FALSE	TRUE	FALSE	FALSE
tad1003	FALSE	TRUE	FALSE	FALSE
tad1003	FALSE	TRUE	FALSE	FALSE
tad1003	FALSE	TRUE	FALSE	FALSE
tad1004	FALSE	TRUE	TRUE	FALSE
tad1004	FALSE	TRUE	FALSE	FALSE
tad1004	FALSE	TRUE	FALSE	FALSE
tad1004	FALSE	TRUE	FALSE	FALSE
tad1004	FALSE	TRUE	FALSE	FALSE
tad1004	FALSE	TRUE	FALSE	FALSE
tad1004	FALSE	TRUE	FALSE	FALSE
tad1005	FALSE	TRUE	FALSE	FALSE
tad1005	FALSE	TRUE	FALSE	FALSE
tad1005	FALSE	TRUE	FALSE	FALSE
tad1005	FALSE	TRUE	FALSE	FALSE
tad1005	FALSE	TRUE	FALSE	FALSE
tad1005	FALSE	TRUE	FALSE	FALSE
tad1005	FALSE	TRUE	FALSE	FALSE
tad1006	FALSE	TRUE	FALSE	FALSE
tad1006	FALSE	TRUE	TRUE	FALSE
tad1006	FALSE	TRUE	FALSE	FALSE
tad1006	FALSE	TRUE	TRUE	FALSE
tad1006	FALSE	TRUE	FALSE	FALSE
tad1006	FALSE	TRUE	TRUE	FALSE
tad1007	FALSE	TRUE	FALSE	FALSE
tad1007	FALSE	TRUE	FALSE	FALSE
tad1007	FALSE	TRUE	FALSE	FALSE
tad1007	FALSE	TRUE	FALSE	FALSE
tad1007	FALSE	TRUE	FALSE	FALSE
tad1008	FALSE	TRUE	FALSE	FALSE
tad1009	FALSE	TRUE	FALSE	FALSE
tad1009	FALSE	TRUE	FALSE	FALSE
tad101	FALSE	TRUE	FALSE	FALSE
tad101	FALSE	TRUE	FALSE	FALSE
tad101	FALSE	TRUE	FALSE	FALSE
tad101	FALSE	TRUE	FALSE	FALSE
tad101	FALSE	TRUE	TRUE	FALSE
tad101	FALSE	TRUE	FALSE	FALSE
tad101	FALSE	TRUE	FALSE	FALSE
tad101	FALSE	TRUE	FALSE	FALSE
tad101	FALSE	TRUE	FALSE	FALSE
tad1010	FALSE	TRUE	FALSE	FALSE
tad1010	FALSE	TRUE	FALSE	FALSE
tad1010	FALSE	TRUE	FALSE	FALSE
tad1013	FALSE	TRUE	FALSE	FALSE
tad1013	FALSE	TRUE	FALSE	FALSE
tad1013	FALSE	TRUE	FALSE	FALSE
tad1013	FALSE	TRUE	FALSE	FALSE
tad1013	FALSE	TRUE	FALSE	FALSE
tad1013	FALSE	TRUE	FALSE	FALSE
tad1014	FALSE	TRUE	FALSE	FALSE
tad1015	FALSE	TRUE	FALSE	FALSE
tad1015	FALSE	TRUE	FALSE	FALSE
tad1015	FALSE	TRUE	FALSE	FALSE
tad1015	FALSE	TRUE	FALSE	FALSE
tad1016	FALSE	TRUE	FALSE	FALSE
tad1016	FALSE	TRUE	FALSE	FALSE
tad1016	FALSE	TRUE	FALSE	FALSE
tad1017	FALSE	TRUE	FALSE	FALSE
tad1017	FALSE	TRUE	FALSE	FALSE
tad1017	FALSE	TRUE	FALSE	FALSE
tad1017	FALSE	TRUE	FALSE	FALSE
tad1018	FALSE	TRUE	TRUE	FALSE
tad1018	FALSE	TRUE	FALSE	FALSE
tad1018	FALSE	TRUE	FALSE	FALSE
tad1018	FALSE	TRUE	FALSE	FALSE
tad1018	FALSE	TRUE	FALSE	FALSE
tad1018	FALSE	TRUE	FALSE	FALSE
tad1019	FALSE	TRUE	FALSE	FALSE
tad1019	FALSE	TRUE	FALSE	FALSE
tad1019	FALSE	TRUE	FALSE	FALSE
tad1019	FALSE	TRUE	FALSE	FALSE
tad1019	FALSE	TRUE	FALSE	FALSE
tad102	FALSE	TRUE	FALSE	FALSE
tad102	FALSE	TRUE	FALSE	FALSE
tad102	FALSE	TRUE	FALSE	FALSE
tad102	FALSE	TRUE	FALSE	FALSE
tad102	FALSE	TRUE	FALSE	FALSE
tad102	FALSE	TRUE	FALSE	FALSE
tad1020	FALSE	TRUE	FALSE	FALSE
tad1021	FALSE	TRUE	FALSE	FALSE
tad1021	FALSE	TRUE	FALSE	FALSE
tad1021	FALSE	TRUE	FALSE	FALSE
tad1021	FALSE	TRUE	FALSE	FALSE
tad1021	FALSE	TRUE	FALSE	FALSE
tad1021	FALSE	TRUE	FALSE	FALSE
tad1023	FALSE	TRUE	FALSE	FALSE
tad1023	FALSE	TRUE	FALSE	FALSE
tad1023	FALSE	TRUE	FALSE	FALSE
tad1024	FALSE	TRUE	FALSE	FALSE
tad1024	FALSE	TRUE	FALSE	FALSE
tad1024	FALSE	TRUE	FALSE	FALSE
tad1024	FALSE	TRUE	FALSE	FALSE
tad1024	FALSE	TRUE	FALSE	FALSE
tad1024	FALSE	TRUE	FALSE	FALSE
tad1024	FALSE	TRUE	FALSE	FALSE
tad1024	FALSE	TRUE	TRUE	FALSE
tad1024	FALSE	TRUE	FALSE	FALSE
tad1024	FALSE	TRUE	FALSE	FALSE
tad1025	FALSE	TRUE	FALSE	FALSE
tad1025	FALSE	TRUE	FALSE	FALSE
tad1025	FALSE	TRUE	FALSE	FALSE
tad1025	FALSE	TRUE	FALSE	FALSE
tad1025	FALSE	TRUE	TRUE	FALSE
tad1025	FALSE	TRUE	FALSE	FALSE
tad1025	FALSE	TRUE	FALSE	FALSE
tad1025	FALSE	TRUE	FALSE	FALSE
tad1025	FALSE	TRUE	FALSE	FALSE
tad1025	FALSE	TRUE	FALSE	FALSE
tad1025	FALSE	TRUE	FALSE	FALSE
tad1025	FALSE	TRUE	FALSE	FALSE
tad1026	FALSE	TRUE	FALSE	FALSE
tad1026	FALSE	TRUE	FALSE	FALSE
tad1026	FALSE	TRUE	FALSE	FALSE
tad1027	FALSE	TRUE	FALSE	FALSE
tad1027	FALSE	TRUE	FALSE	FALSE
tad1027	FALSE	TRUE	FALSE	FALSE
tad1027	FALSE	TRUE	FALSE	FALSE
tad1027	FALSE	TRUE	FALSE	FALSE
tad1027	FALSE	TRUE	FALSE	FALSE
tad1027	FALSE	TRUE	FALSE	TRUE
tad1028	FALSE	TRUE	FALSE	FALSE
tad1028	FALSE	TRUE	FALSE	FALSE
tad1028	FALSE	TRUE	FALSE	FALSE
tad1028	FALSE	TRUE	FALSE	FALSE
tad1028	FALSE	TRUE	FALSE	FALSE
tad1028	FALSE	TRUE	FALSE	FALSE
tad1028	FALSE	TRUE	FALSE	FALSE
tad1028	FALSE	TRUE	FALSE	FALSE
tad1028	FALSE	TRUE	FALSE	FALSE
tad1028	FALSE	TRUE	FALSE	FALSE
tad1028	FALSE	TRUE	FALSE	FALSE
tad1028	FALSE	TRUE	FALSE	FALSE
tad1029	FALSE	TRUE	FALSE	FALSE
tad103	FALSE	TRUE	FALSE	FALSE
tad1030	FALSE	TRUE	FALSE	FALSE
tad1030	FALSE	TRUE	FALSE	FALSE
tad1031	FALSE	TRUE	FALSE	FALSE
tad1033	FALSE	TRUE	TRUE	FALSE
tad1033	FALSE	TRUE	FALSE	FALSE
tad1033	FALSE	TRUE	FALSE	FALSE
tad1034	FALSE	TRUE	FALSE	FALSE
tad1036	FALSE	TRUE	FALSE	FALSE
tad1036	FALSE	TRUE	TRUE	FALSE
tad1036	FALSE	TRUE	FALSE	FALSE
tad1036	FALSE	TRUE	FALSE	FALSE
tad1036	FALSE	TRUE	FALSE	FALSE
tad1039	FALSE	TRUE	FALSE	FALSE
tad1039	FALSE	TRUE	FALSE	FALSE
tad104	FALSE	TRUE	FALSE	FALSE
tad104	FALSE	TRUE	TRUE	FALSE
tad104	FALSE	TRUE	FALSE	FALSE
tad104	FALSE	TRUE	FALSE	FALSE
tad104	FALSE	TRUE	FALSE	FALSE
tad104	FALSE	TRUE	FALSE	FALSE
tad104	FALSE	TRUE	FALSE	FALSE
tad104	FALSE	TRUE	FALSE	FALSE
tad1040	FALSE	TRUE	FALSE	FALSE
tad1041	FALSE	TRUE	FALSE	FALSE
tad1043	FALSE	TRUE	FALSE	FALSE
tad1043	FALSE	TRUE	FALSE	FALSE
tad1043	FALSE	TRUE	FALSE	FALSE
tad1043	FALSE	TRUE	FALSE	FALSE
tad1045	FALSE	TRUE	FALSE	FALSE
tad1045	FALSE	TRUE	FALSE	FALSE
tad1046	FALSE	TRUE	FALSE	FALSE
tad1047	FALSE	TRUE	FALSE	FALSE
tad1048	FALSE	TRUE	FALSE	FALSE
tad1049	FALSE	TRUE	FALSE	FALSE
tad105	FALSE	TRUE	FALSE	FALSE
tad1050	FALSE	TRUE	FALSE	FALSE
tad1051	FALSE	TRUE	FALSE	FALSE
tad1051	FALSE	TRUE	FALSE	FALSE
tad1051	FALSE	TRUE	TRUE	FALSE
tad1051	FALSE	TRUE	TRUE	FALSE
tad1051	FALSE	TRUE	FALSE	FALSE
tad1051	FALSE	TRUE	FALSE	FALSE
tad1052	FALSE	TRUE	FALSE	FALSE
tad1052	FALSE	TRUE	FALSE	FALSE
tad1052	FALSE	TRUE	FALSE	FALSE
tad1052	FALSE	TRUE	FALSE	FALSE
tad1052	FALSE	TRUE	FALSE	FALSE
tad1053	FALSE	TRUE	FALSE	FALSE
tad1053	FALSE	TRUE	FALSE	FALSE
tad1053	FALSE	TRUE	FALSE	FALSE
tad1055	FALSE	TRUE	FALSE	FALSE
tad1055	FALSE	TRUE	FALSE	FALSE
tad1056	FALSE	TRUE	FALSE	FALSE
tad1056	FALSE	TRUE	FALSE	FALSE
tad1056	FALSE	TRUE	FALSE	FALSE
tad1057	FALSE	TRUE	FALSE	FALSE
tad1057	FALSE	TRUE	FALSE	FALSE
tad1058	FALSE	TRUE	FALSE	FALSE
tad1058	FALSE	TRUE	FALSE	FALSE
tad1059	FALSE	TRUE	FALSE	FALSE
tad1059	FALSE	TRUE	FALSE	FALSE
tad1059	FALSE	TRUE	FALSE	FALSE
tad106	FALSE	TRUE	FALSE	FALSE
tad106	FALSE	TRUE	FALSE	FALSE
tad106	FALSE	TRUE	FALSE	FALSE
tad106	FALSE	TRUE	FALSE	FALSE
tad106	FALSE	TRUE	FALSE	FALSE
tad1060	FALSE	TRUE	FALSE	FALSE
tad1060	FALSE	TRUE	FALSE	FALSE
tad1060	FALSE	TRUE	FALSE	FALSE
tad1060	FALSE	TRUE	FALSE	FALSE
tad1060	FALSE	TRUE	FALSE	FALSE
