X1	X2	X3	X4	X5	X6	X7	X8	X9
chr15	ensembl_havana	exon	33194578	33194714	.	-	.	"gene_id ""ENSG00000248905""; gene_version ""10""; transcript_id ""ENST00000616417""; transcript_version ""5""; exon_number ""1""; gene_name ""FMN1""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding""; transcript_name ""FMN1-211""; transcript_source ""ensembl_havana""; transcript_type ""protein_coding""; tag ""CCDS""; ccds_id ""CCDS61581""; exon_id ""ENSE00003719293""; exon_version ""2""; tag ""basic""; transcript_support_level ""5 (assigned to previous version 4)"";"
chr15	ensembl_havana	exon	33193909	33194060	.	-	.	"gene_id ""ENSG00000248905""; gene_version ""10""; transcript_id ""ENST00000616417""; transcript_version ""5""; exon_number ""2""; gene_name ""FMN1""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding""; transcript_name ""FMN1-211""; transcript_source ""ensembl_havana""; transcript_type ""protein_coding""; tag ""CCDS""; ccds_id ""CCDS61581""; exon_id ""ENSE00001493659""; exon_version ""1""; tag ""basic""; transcript_support_level ""5 (assigned to previous version 4)"";"
chr15	ensembl_havana	exon	33180198	33180262	.	-	.	"gene_id ""ENSG00000248905""; gene_version ""10""; transcript_id ""ENST00000616417""; transcript_version ""5""; exon_number ""3""; gene_name ""FMN1""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding""; transcript_name ""FMN1-211""; transcript_source ""ensembl_havana""; transcript_type ""protein_coding""; tag ""CCDS""; ccds_id ""CCDS61581""; exon_id ""ENSE00001493658""; exon_version ""1""; tag ""basic""; transcript_support_level ""5 (assigned to previous version 4)"";"
chr15	ensembl_havana	exon	33153048	33155045	.	-	.	"gene_id ""ENSG00000248905""; gene_version ""10""; transcript_id ""ENST00000616417""; transcript_version ""5""; exon_number ""4""; gene_name ""FMN1""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding""; transcript_name ""FMN1-211""; transcript_source ""ensembl_havana""; transcript_type ""protein_coding""; tag ""CCDS""; ccds_id ""CCDS61581""; exon_id ""ENSE00001367760""; exon_version ""2""; tag ""basic""; transcript_support_level ""5 (assigned to previous version 4)"";"
chr15	ensembl_havana	exon	33088799	33088974	.	-	.	"gene_id ""ENSG00000248905""; gene_version ""10""; transcript_id ""ENST00000616417""; transcript_version ""5""; exon_number ""5""; gene_name ""FMN1""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding""; transcript_name ""FMN1-211""; transcript_source ""ensembl_havana""; transcript_type ""protein_coding""; tag ""CCDS""; ccds_id ""CCDS61581""; exon_id ""ENSE00002562450""; exon_version ""1""; tag ""basic""; transcript_support_level ""5 (assigned to previous version 4)"";"
chr15	ensembl_havana	exon	33064957	33065074	.	-	.	"gene_id ""ENSG00000248905""; gene_version ""10""; transcript_id ""ENST00000616417""; transcript_version ""5""; exon_number ""6""; gene_name ""FMN1""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding""; transcript_name ""FMN1-211""; transcript_source ""ensembl_havana""; transcript_type ""protein_coding""; tag ""CCDS""; ccds_id ""CCDS61581""; exon_id ""ENSE00001385570""; exon_version ""1""; tag ""basic""; transcript_support_level ""5 (assigned to previous version 4)"";"
chr15	ensembl_havana	exon	33008014	33008075	.	-	.	"gene_id ""ENSG00000248905""; gene_version ""10""; transcript_id ""ENST00000616417""; transcript_version ""5""; exon_number ""7""; gene_name ""FMN1""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding""; transcript_name ""FMN1-211""; transcript_source ""ensembl_havana""; transcript_type ""protein_coding""; tag ""CCDS""; ccds_id ""CCDS61581""; exon_id ""ENSE00001371478""; exon_version ""1""; tag ""basic""; transcript_support_level ""5 (assigned to previous version 4)"";"
chr15	ensembl_havana	exon	32968714	32969477	.	-	.	"gene_id ""ENSG00000248905""; gene_version ""10""; transcript_id ""ENST00000616417""; transcript_version ""5""; exon_number ""8""; gene_name ""FMN1""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding""; transcript_name ""FMN1-211""; transcript_source ""ensembl_havana""; transcript_type ""protein_coding""; tag ""CCDS""; ccds_id ""CCDS61581""; exon_id ""ENSE00001382099""; exon_version ""2""; tag ""basic""; transcript_support_level ""5 (assigned to previous version 4)"";"
chr15	ensembl_havana	exon	32964107	32964257	.	-	.	"gene_id ""ENSG00000248905""; gene_version ""10""; transcript_id ""ENST00000616417""; transcript_version ""5""; exon_number ""9""; gene_name ""FMN1""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding""; transcript_name ""FMN1-211""; transcript_source ""ensembl_havana""; transcript_type ""protein_coding""; tag ""CCDS""; ccds_id ""CCDS61581""; exon_id ""ENSE00001376948""; exon_version ""1""; tag ""basic""; transcript_support_level ""5 (assigned to previous version 4)"";"
chr15	ensembl_havana	exon	32926174	32926261	.	-	.	"gene_id ""ENSG00000248905""; gene_version ""10""; transcript_id ""ENST00000616417""; transcript_version ""5""; exon_number ""10""; gene_name ""FMN1""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding""; transcript_name ""FMN1-211""; transcript_source ""ensembl_havana""; transcript_type ""protein_coding""; tag ""CCDS""; ccds_id ""CCDS61581""; exon_id ""ENSE00003548205""; exon_version ""1""; tag ""basic""; transcript_support_level ""5 (assigned to previous version 4)"";"
