X1	X2	X3	X4	X5	X6	X7	X8	X9
chr4	havana	exon	153152163	153152282	.	+	.	"gene_id ""ENSG00000109654""; gene_version ""16""; transcript_id ""ENST00000676423""; transcript_version ""1""; exon_number ""1""; gene_name ""TRIM2""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding""; transcript_name ""TRIM2-289""; transcript_source ""havana""; transcript_type ""protein_coding""; tag ""CCDS""; ccds_id ""CCDS47147""; exon_id ""ENSE00003901413""; exon_version ""1""; tag ""basic"";"
chr4	havana	exon	153270338	153270519	.	+	.	"gene_id ""ENSG00000109654""; gene_version ""16""; transcript_id ""ENST00000676423""; transcript_version ""1""; exon_number ""2""; gene_name ""TRIM2""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding""; transcript_name ""TRIM2-289""; transcript_source ""havana""; transcript_type ""protein_coding""; tag ""CCDS""; ccds_id ""CCDS47147""; exon_id ""ENSE00003798284""; exon_version ""1""; tag ""basic"";"
chr4	havana	exon	153275893	153276130	.	+	.	"gene_id ""ENSG00000109654""; gene_version ""16""; transcript_id ""ENST00000676423""; transcript_version ""1""; exon_number ""3""; gene_name ""TRIM2""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding""; transcript_name ""TRIM2-289""; transcript_source ""havana""; transcript_type ""protein_coding""; tag ""CCDS""; ccds_id ""CCDS47147""; exon_id ""ENSE00003600484""; exon_version ""1""; tag ""basic"";"
chr4	havana	exon	153292982	153293133	.	+	.	"gene_id ""ENSG00000109654""; gene_version ""16""; transcript_id ""ENST00000676423""; transcript_version ""1""; exon_number ""4""; gene_name ""TRIM2""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding""; transcript_name ""TRIM2-289""; transcript_source ""havana""; transcript_type ""protein_coding""; tag ""CCDS""; ccds_id ""CCDS47147""; exon_id ""ENSE00003615398""; exon_version ""1""; tag ""basic"";"
chr4	havana	exon	153294305	153294485	.	+	.	"gene_id ""ENSG00000109654""; gene_version ""16""; transcript_id ""ENST00000676423""; transcript_version ""1""; exon_number ""5""; gene_name ""TRIM2""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding""; transcript_name ""TRIM2-289""; transcript_source ""havana""; transcript_type ""protein_coding""; tag ""CCDS""; ccds_id ""CCDS47147""; exon_id ""ENSE00003490864""; exon_version ""1""; tag ""basic"";"
chr4	havana	exon	153295313	153296036	.	+	.	"gene_id ""ENSG00000109654""; gene_version ""16""; transcript_id ""ENST00000676423""; transcript_version ""1""; exon_number ""6""; gene_name ""TRIM2""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding""; transcript_name ""TRIM2-289""; transcript_source ""havana""; transcript_type ""protein_coding""; tag ""CCDS""; ccds_id ""CCDS47147""; exon_id ""ENSE00003521018""; exon_version ""1""; tag ""basic"";"
chr4	havana	exon	153315485	153315588	.	+	.	"gene_id ""ENSG00000109654""; gene_version ""16""; transcript_id ""ENST00000676423""; transcript_version ""1""; exon_number ""7""; gene_name ""TRIM2""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding""; transcript_name ""TRIM2-289""; transcript_source ""havana""; transcript_type ""protein_coding""; tag ""CCDS""; ccds_id ""CCDS47147""; exon_id ""ENSE00000821092""; exon_version ""1""; tag ""basic"";"
chr4	havana	exon	153315832	153315999	.	+	.	"gene_id ""ENSG00000109654""; gene_version ""16""; transcript_id ""ENST00000676423""; transcript_version ""1""; exon_number ""8""; gene_name ""TRIM2""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding""; transcript_name ""TRIM2-289""; transcript_source ""havana""; transcript_type ""protein_coding""; tag ""CCDS""; ccds_id ""CCDS47147""; exon_id ""ENSE00000821091""; exon_version ""1""; tag ""basic"";"
chr4	havana	exon	153322648	153322816	.	+	.	"gene_id ""ENSG00000109654""; gene_version ""16""; transcript_id ""ENST00000676423""; transcript_version ""1""; exon_number ""9""; gene_name ""TRIM2""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding""; transcript_name ""TRIM2-289""; transcript_source ""havana""; transcript_type ""protein_coding""; tag ""CCDS""; ccds_id ""CCDS47147""; exon_id ""ENSE00000740018""; exon_version ""1""; tag ""basic"";"
chr4	havana	exon	153324078	153324148	.	+	.	"gene_id ""ENSG00000109654""; gene_version ""16""; transcript_id ""ENST00000676423""; transcript_version ""1""; exon_number ""10""; gene_name ""TRIM2""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding""; transcript_name ""TRIM2-289""; transcript_source ""havana""; transcript_type ""protein_coding""; tag ""CCDS""; ccds_id ""CCDS47147""; exon_id ""ENSE00000740017""; exon_version ""1""; tag ""basic"";"
chr4	havana	exon	153328530	153328670	.	+	.	"gene_id ""ENSG00000109654""; gene_version ""16""; transcript_id ""ENST00000676423""; transcript_version ""1""; exon_number ""11""; gene_name ""TRIM2""; gene_source ""ensembl_havana""; gene_biotype ""protein_coding""; transcript_name ""TRIM2-289""; transcript_source ""havana""; transcript_type ""protein_coding""; tag ""CCDS""; ccds_id ""CCDS47147""; exon_id ""ENSE00001790597""; exon_version ""1""; tag ""basic"";"
