#chr	pos	effect	mid	up	low	type
chr22	35354218.49882745	Effect_1	-0.007299004116932137	0.04706086089436316	-0.061658869128227434	mQTL_Effect_1
chr22	35355139.65117849	Effect_1	-0.006583081413823649	0.048932333364055475	-0.06209849619170277	mQTL_Effect_1
chr22	35356060.803529516	Effect_1	-0.006105717793139703	0.05081002670616647	-0.06302146229244587	mQTL_Effect_1
chr22	35356981.95588055	Effect_1	-0.002361592131216598	0.05628508318464896	-0.061008267447082154	mQTL_Effect_1
chr22	35357903.10823158	Effect_1	0.010736130574038608	0.0701093337023604	-0.04863707255428319	mQTL_Effect_1
chr22	35358824.26058262	Effect_1	0.034980540490062856	0.09563408028037859	-0.025672999300252887	mQTL_Effect_1
chr22	35359745.41293365	Effect_1	0.051734376594902376	0.11408120271265947	-0.010612449522854714	mQTL_Effect_1
chr22	35370310.99445133	Effect_1	-0.0016941194038174114	0.06491481875555302	-0.06830305756318786	mQTL_Effect_1
chr22	35403229.39585445	Effect_1	-0.023748477899234746	0.042767277951461236	-0.09026423374993073	mQTL_Effect_1
chr22	35411253.777777694	Effect_1	0.00568560679011812	0.07264731214329911	-0.061276098563062875	mQTL_Effect_1
chr22	35415301.47713129	Effect_1	0.018543794551664272	0.08448165046455564	-0.04739406136122709	mQTL_Effect_1
chr22	35425437.636816025	Effect_1	0.017465832385896985	0.0849941544739759	-0.05006248970218194	mQTL_Effect_1
chr22	35492940.35756723	Effect_1	0.011819344005331973	0.07748527561126844	-0.053846587600604505	mQTL_Effect_1
chr22	35497263.045148656	Effect_1	0.005857980189051013	0.07319232655890572	-0.061476366180803696	mQTL_Effect_1
chr22	35498881.21026456	Effect_1	3.4036237080862727e-4	0.06696625665058857	-0.06628553190897131	mQTL_Effect_1
chr22	35500499.37538047	Effect_1	-0.002957144828035306	0.06388514297315254	-0.06979943262922314	mQTL_Effect_1
chr22	35502117.54049638	Effect_1	-0.004194836138311438	0.06524025037038457	-0.07362992264700745	mQTL_Effect_1
chr22	35527573.13636198	Effect_1	-0.0033991793649099447	0.06496613371400631	-0.07176449244382618	mQTL_Effect_1
chr22	35533838.79000742	Effect_1	-0.0018381727651838086	0.06445096521431547	-0.06812731074468308	mQTL_Effect_1
chr22	35534085.36210298	Effect_1	-0.002859092435673319	0.06278392786814957	-0.06850211273949622	mQTL_Effect_1
chr22	35534331.934198536	Effect_1	-0.004034747447597673	0.06309227975187541	-0.07116177464707076	mQTL_Effect_1
chr22	35534578.506294094	Effect_1	-0.0049829894001409605	0.06335181679491865	-0.07331779559520056	mQTL_Effect_1
chr22	35534825.07838965	Effect_1	-0.005895846063927226	0.06358845868390627	-0.07538015081176071	mQTL_Effect_1
chr22	35535071.65048521	Effect_1	-0.006791224548377616	0.06776951499919805	-0.08135196409595329	mQTL_Effect_1
chr22	35535318.22258077	Effect_1	-0.007702602123539459	0.060288343704915565	-0.07569354795199448	mQTL_Effect_1
chr22	35535564.794676326	Effect_1	-0.008743863023839069	0.06263759808840434	-0.08012532413608249	mQTL_Effect_1
chr22	35535811.366771884	Effect_1	-0.00990696824676863	0.05643642150475694	-0.0762503579982942	mQTL_Effect_1
chr22	35536057.93886744	Effect_1	-0.011154706734383433	0.048238532401425574	-0.07054794587019243	mQTL_Effect_1
chr22	35536304.510963	Effect_1	-0.012482885443819034	0.04416990047071023	-0.0691356713583483	mQTL_Effect_1
chr22	35536551.083058566	Effect_1	-0.013876563953876486	0.04284701660487058	-0.07060014451262356	mQTL_Effect_1
chr22	35536797.655154124	Effect_1	-0.015324557430109199	0.040080203450853474	-0.07072931831107188	mQTL_Effect_1
chr22	35537044.22724968	Effect_1	-0.016809519038442425	0.037843640518460245	-0.0714626785953451	mQTL_Effect_1
chr22	35537290.79934524	Effect_1	-0.018305659284828392	0.0389116815543449	-0.07552300012400168	mQTL_Effect_1
chr22	35537537.3714408	Effect_1	-0.01980739283092412	0.03950236430886694	-0.07911714997071517	mQTL_Effect_1
chr22	35537783.943536356	Effect_1	-0.021326174551774338	0.03893904301364691	-0.08159139211719559	mQTL_Effect_1
chr22	35538030.515631914	Effect_1	-0.02287350167778308	0.0418753464739995	-0.08762234982956567	mQTL_Effect_1
chr22	35538277.08772747	Effect_1	-0.024508308867999883	0.03727660353755349	-0.08629322127355327	mQTL_Effect_1
chr22	35538523.65982303	Effect_1	-0.026310575355669115	0.03524148470810442	-0.08786263541944264	mQTL_Effect_1
chr22	35538770.23191859	Effect_1	-0.02808646933471875	0.033283695777961544	-0.08945663444739904	mQTL_Effect_1
chr22	35539016.80401415	Effect_1	-0.029815736126655248	0.03857726651801166	-0.09820873877132216	mQTL_Effect_1
chr22	35539263.376109704	Effect_1	-0.032231572876336226	0.03731825213502958	-0.10178139788770203	mQTL_Effect_1
chr22	35539509.94820526	Effect_1	-0.03505000883568171	0.03239324941581853	-0.10249326708718196	mQTL_Effect_1
chr22	35539756.52030083	Effect_1	-0.03699524149914568	0.037265767070340405	-0.11125625006863177	mQTL_Effect_1
chr22	35545040.92046841	Effect_1	-0.038031291423314115	0.02532778909955205	-0.10139037194618028	mQTL_Effect_1
chr22	35627928.48201083	Effect_1	-0.03632661146348456	0.022320410170751447	-0.09497363309772056	mQTL_Effect_1
chr22	35636979.020614766	Effect_1	-0.05755685515149836	-0.002938647836654193	-0.11217506246634253	mQTL_Effect_1
chr22	35656484.10947228	Effect_1	-0.03149895567917844	0.02130431503362911	-0.08430222639198598	mQTL_Effect_1
chr22	35682801.90886072	Effect_1	-0.0520892923897305	6.641965470269989e-4	-0.104842781326488	mQTL_Effect_1
chr22	35683335.03092706	Effect_1	-0.05039325343283768	0.002425594190502686	-0.10321210105617805	mQTL_Effect_1
chr22	35683868.1529934	Effect_1	-0.04827636994729852	0.004350547862350632	-0.10090328775694767	mQTL_Effect_1
chr22	35684401.27505974	Effect_1	-0.04906768735252151	0.004169716576900684	-0.1023050912819437	mQTL_Effect_1
chr22	35684934.39712608	Effect_1	-0.04925653143777002	0.0029486170619094157	-0.10146167993744945	mQTL_Effect_1
chr22	35685467.51919242	Effect_1	-0.0480007240137081	0.0039437326097707184	-0.09994518063718691	mQTL_Effect_1
chr22	35686000.64125876	Effect_1	-0.04656079444561633	0.0053000558671131084	-0.09842164475834578	mQTL_Effect_1
chr22	35686533.763325095	Effect_1	-0.04485593030150159	0.006725770701501141	-0.09643763130450432	mQTL_Effect_1
chr22	35687066.88539144	Effect_1	-0.04263814717530016	0.009266185075904168	-0.09454247942650448	mQTL_Effect_1
chr22	35687600.00745778	Effect_1	-0.04015543605985409	0.01228423884595179	-0.09259511096565998	mQTL_Effect_1
chr22	35688133.12952412	Effect_1	-0.037822293249241405	0.015373775091879746	-0.09101836159036256	mQTL_Effect_1
chr22	35688666.25159045	Effect_1	-0.03550305445213793	0.01846570691461835	-0.08947181581889421	mQTL_Effect_1
chr22	35702845.100580804	Effect_1	-0.03253606831630104	0.02343690068005777	-0.08850903731265986	mQTL_Effect_1
chr22	35708658.26680858	Effect_1	-0.02890803210416415	0.028190817446348777	-0.08600688165467707	mQTL_Effect_1
chr22	35717374.74001038	Effect_1	-0.026437251552454723	0.038010607326108704	-0.09088511043101816	mQTL_Effect_1
chr22	35780570.526356325	Effect_1	-0.03264053659905008	0.046964664326382015	-0.11224573752448216	mQTL_Effect_1
chr22	35814256.467063114	Effect_1	-0.016321770073592097	0.062195228092186465	-0.09483876823937065	mQTL_Effect_1
chr22	35816724.066152185	Effect_1	-0.01975216323431725	0.0487667395689466	-0.0882710660375811	mQTL_Effect_1
chr22	35821700.80977523	Effect_1	-0.02033010350510698	0.04391668479631795	-0.08457689180653191	mQTL_Effect_1
chr22	35827390.77183507	Effect_1	-0.017362982800080057	0.04812340633413195	-0.08284937193429207	mQTL_Effect_1
chr22	35829700.846771754	Effect_1	-0.01469624976631714	0.05342208006255206	-0.08281457959518634	mQTL_Effect_1
chr22	35843386.60551832	Effect_1	-0.013154133568930918	0.058686569149888956	-0.08499483628775079	mQTL_Effect_1
chr22	35865431.98249683	Effect_1	-0.011646500927504215	0.061850611234765374	-0.0851436130897738	mQTL_Effect_1
chr22	35868719.478999294	Effect_1	-0.011170562645213506	0.06029523518414166	-0.08263636047456867	mQTL_Effect_1
chr22	35869165.398488596	Effect_1	-0.011043850573912804	0.059411984248691374	-0.08149968539651697	mQTL_Effect_1
chr22	35869611.3179779	Effect_1	-0.011432939366299175	0.05894883738275494	-0.08181471611535329	mQTL_Effect_1
chr22	35870057.2374672	Effect_1	-0.012263796103326355	0.05885741800126261	-0.08338501020791532	mQTL_Effect_1
chr22	35870503.15695651	Effect_1	-0.01352764895867627	0.055428706883503195	-0.08248400480085573	mQTL_Effect_1
chr22	35870949.07644581	Effect_1	-0.01525427908404103	0.0524460794517458	-0.08295463761982787	mQTL_Effect_1
chr22	35871394.99593511	Effect_1	-0.017421880487863594	0.05044379396556152	-0.08528755494128872	mQTL_Effect_1
chr22	35871840.915424414	Effect_1	-0.019965262741697035	0.047689328489583294	-0.08761985397297736	mQTL_Effect_1
chr22	35872286.834913716	Effect_1	-0.022778316627923324	0.04812765164466653	-0.09368428490051317	mQTL_Effect_1
chr22	35872732.754403025	Effect_1	-0.025735001625938107	0.052928102989925944	-0.10439810624180215	mQTL_Effect_1
chr22	35873178.67389233	Effect_1	-0.028737408386911	0.04544825968317298	-0.10292307645699497	mQTL_Effect_1
chr22	35873624.59338163	Effect_1	-0.03167333411137234	0.036621703764484925	-0.0999683719872296	mQTL_Effect_1
chr22	35874070.51287093	Effect_1	-0.03436068869119599	0.03270165742683481	-0.10142303480922679	mQTL_Effect_1
chr22	35874516.43236024	Effect_1	-0.03667192320778252	0.030663829142292556	-0.1040076755578576	mQTL_Effect_1
chr22	35875332.780496955	Effect_1	-0.0384134625251793	0.02878183009053209	-0.10560875514089069	mQTL_Effect_1
chr22	35877983.28042432	Effect_1	-0.040186738709813125	0.02709621170445195	-0.1074696891240782	mQTL_Effect_1
chr22	35880633.78035168	Effect_1	-0.04199233001249524	0.024576967132358594	-0.10856162715734907	mQTL_Effect_1
chr22	35887426.6058874	Effect_1	-0.0403291774346147	0.026448915205028442	-0.10710727007425784	mQTL_Effect_1
